Tweet,Stance
"All eyes on China, reports @ClimateNexus -  plan building on agreement with US re: #emissions expected soon #cop21 #ghg #SemST",FAVOR
".@RobSilver What are the chances, @irbrodie? #Kyoto #CPC? #cdnpoli #SemST",NONE
Good news #SCOTUS confirmed the #UN has ZERO authority of U.S. property or enforcement. Who cares what the elites say! #COP21 #SemST,NONE
#Northwest #HeatWave continues. First time. Ever. My tomato plants have fruit. In JUNE! #Oregon #Organic #SemST,FAVOR
"Feeling like #SCOTUS got it right, right, right ... then very wrong. Sigh. #Climatedenial #SemST",FAVOR
@Icicle167 OK yeah that's bad... but Vancouver literally never used to get this hot #laudatosi' #SemST,FAVOR
@eilonwya10 Those items need to come back.  #SemST,NONE
At the UN with crew now :) @Trashis4Tossers #SemST,NONE
"Need to separate natural disasters from man made disasters, emphasise polluter pays,and need for loss and damage. #TuvaluPM  #SemST",FAVOR
@heidtjj @DJRMewzique @Mikeh_6 @marklindesr @fatherjonathan I think we found something more dangerous to America than #SemST,NONE
@RBJRON @fedupofpollys @Jolly57La We should worry about the state he's going to leave #Australia in. #NBN Fraudband #refugees #SemST,NONE
@EcoWatch RobertRedford + Pope say time is now. GreenNH3 is ready to roll. We all want machines. What is holdup ? #pollution #SemST,FAVOR
#COP21 can succeed or fail. If humankind wants to survive something must be done not for nature but for humans. Simple. #SemST,FAVOR
"@DalydeGagne @2010redmittens Canada alone needs 2 invest $60 billion a year, paid for by efficiency #cdnpoli #environment #SemST",FAVOR
"#AskRobertRedford Beyond the national level, what can be done on the individual level to mitigate the effects of #SemST",FAVOR
Disappointed that we are basing decisions about our very real planet on a man made currency system. #SCOTUS #EPA #SemST,FAVOR
"Went for a run, now I can't feel my legs and my brain feels like it's boiling. #SemST",NONE
"China, I had plans to work on other things today. Rude. #EUChina #SemST",NONE
"Obamacare ""Doctors Should Warn Global Warmin cud Make Patients' Health Worse"" #Obama #PresidentObama #WhiteHouse #SemST",FAVOR
Sir David Attenborough and @BarackObama  dissgussing the planet future. The room doesn't get any better than this. #SemST,FAVOR
If you do not repent your emission of CO2 you will end up in hell #bible #SemST,FAVOR
And Onan cast his CO2 into the atmosphere and committed the sin of emission #bible #SemST,FAVOR
"#Mission:#Climate @ home > Pass your magazines on to a friend, hospital, library, or nursing home. (by @gaiam) #Tip #SemST",FAVOR
"Obama & Attenborough brilliant, heart felt & honest  Why can't we have such a discussion here in Oz  #renewables #abc #auspol #SemST",FAVOR
"The #greatman @BarackObama met #greatman David Attenborough & change seems possible, attainable. Listen up! #Attenborobama #SemST",FAVOR
Water temperature off the Atlantic  coast is in the 80s in June. We are like proverbial frogs in boiling water #climate #SemST,FAVOR
@Attenborough_D states the media needs to promote the damage of climate change. How bout you #Bolt? #ForeignCorrespondent #SemST,FAVOR
"Clean technology, this is your moment #innovation #technology #davidattenboroughismyhero #SemST",FAVOR
#Mission:#Climate @ home > Simplify (by @BeZeroWaste) #Tip #DoYourPart #SemST,FAVOR
David Attenborough being interviewed by President Obama is brilliant & fascinating viewing #ForeignCorrespondent #ABC #tunein #SemST,NONE
How did the #GreatBarrierReef look to you compared to when you dived it 60 years ago? @POTUS #Attenborough @ForeignOfficial #SemST,FAVOR
#TonyAbbott hope you're watching President Obama talking about #SemST,NONE
Australia...your turn to watch Obama & Attenborough @ABCenvironment #SemST,NONE
"Top-down approach is not only the solution , global governments must act together with global community against #SemST",FAVOR
"Around 1500 new homes being built every year in England in areas at high risk of #floods, adding to risk from #UKClimate2015 #SemST",FAVOR
Pupils in P5-7 from Lincluden Primary are participating in Carbon Busters Project 2015-2016! #LearningForSustainability #SemST,FAVOR
Look out for the hashtag #UKClimate2015 for news today on how the UK is doing in both reducing emissions and adapting to #SemST,FAVOR
#Mission:#Climate on the road > Drive less (by @greengoddess892) #Tip #ImpactIsReal #SemST,FAVOR
"We Aren't The Dinosaurs, We're The Asteroid. #earth #extinction #SemST",FAVOR
It's nights like this when I'm not so fond of my long hair. I just wanna chop it all off! #heatwave #pnwgirl #SemST,NONE
@NaughtyBeyotch He Is psychic 2  Huh #SemST,NONE
@lancet  #climatehealth report says we need ambitious programme like Marshall plan or Apollo mission to tackle climate change #SemST,FAVOR
56. Here we see how environmental deterioration and human & ethical degradation are closely linked. #LaudatoSi #environment #SemST,FAVOR
Scary stat of the day: 7% of the area of urban greenspace in England has been lost since 2001 @theCCCuk #SemST,FAVOR
Last Thursday Lake Mead (the largest U.S. reservoir) had the lowest water level reported since 1937 #HistoryInTheMaking  #SemST,FAVOR
I don't  care why the globe is warming. I just want to stop it before there is irreparable harm #fuckpolitics #sciencerules #SemST,FAVOR
"Road to #Paris2015 ""#ADP2015 co-chairs' new tool will be presented on July 24th"" @manupulgarvidal at @UN_PGA event on #SemST",NONE
"We need to work with confidence, transparence and guided by consensus @manupulgarvidal at @UN_PGA event on #action2015 #SemST",NONE
"Monsignor Sanchez Sorondo: ""Earth is sick. We need to heal it. #SemST",FAVOR
"President Tong tells story of vulnerability & resilience of #Kiribati, #Maldives & other low-lying states & SIDS #Action2015 #SemST",NONE
Today the kingdom of Bahrain participates in the High-level Event on Climate Change at the @un #UN70 #SemST,FAVOR
#Mission:#Climate @ home > Wash laundry in cold water (by @ETPowerlines) #Tip #DoYourPart #SemST,FAVOR
"Reading: ""The Whale and the Supercomputer. On the Northern Front of Climate Change"" by Charles Wohlforth #arctic #SemST",FAVOR
"The same ppl who think Paul spoke ""for God"" when denouncing gays also think the current Pope does not speak for God. #SemST",NONE
#Equity #financial #solidarity and #transparency is what #2015text needs says #Fabius at #UN #GA #SemST,NONE
Dallas still hasn't hit 100 this year. #SemST,NONE
"QT @BarackObama ""I don't have much patience for anyone who denies that this challenge is real."" 1/2 #SemST",NONE
@popupincubator #innovation of super converter on fishing boat w/ no more use of fossil fuel is looking for funding scheme in #SemST,FAVOR
@abcnews afterwards can they call @TonyAbbottMHR and advise him he needs to act on #auspol #SemST,NONE
@DavidAttenborough meets @BarackObama on #TVNZOne interview on his life and the effects of #SemST,NONE
John Watterson is attending IPPC meeting to help shape the future of international greenhouse gas emission estimation methods #SemST,FAVOR
There are NO two sides to this discussion. --@StopMotionsolo  #SemST,NONE
#KCA #VoteJKT48ID ENGIEgroup: #ENGIE 9 new #COP21 solutions and more here >  #SemST,NONE
Population growth is only a problem because humans treat the earth like shit.  #govegan #environment #SemST,FAVOR
SA has played an instrumental role in rallying other BASIC countries to strengthen South-South cooperation on matters around #SemST,NONE
Can we build #thorium #LFTR now. Before its 200 degrees during summer. #MyACSucks #SemST,FAVOR
what is at stake is the survival of our and next generation - Indigenous People Youth #UNGA #Action2015 #COP21 #SemST,FAVOR
Stress on #water resources threatens lives and livelihoods #anthropoceneage #sustainability #SemST,FAVOR
"It doesn't simply rain in Houston anymore, it storms.  #SemST",FAVOR
"So, its 20 degrees celcius in mendoza argentina beginning of winter  #mendoza #SemST",FAVOR
We could do something...the question is will we says @PaulREhrlich #sustainability #SemST,FAVOR
"Being an engaged mom, means voting 4 the climate 2. Supporting only candidates who have a plan 2  act on #playin4climate #SemST",FAVOR
If like me you felt voiceless then listen to @timfarron #libdemfightback fighting for the #HumanRightsAct #AffordableHousing #SemST,NONE
I am thinking of turning the central heating off. :) #SemST,NONE
@bendicoot Shit. Who set the Supreme Court to Evil again?  #SemST,NONE
Pope Francis really makin the rounds  #PopeFrancis #SemST,NONE
Coldest and wettest summer in memory. #mosquitoes #mowtwiceaweek #brrrr #SemST,FAVOR
@stiNgo100 Weather patterns evolving very differently over the last few years..  #SemST,FAVOR
I can literally sense the global warming NOW.  #SemST,FAVOR
@suzyji @climatedepot Great news to arrest a regulatory agency's flagrant over reach. Pathetic how little #EPA knows of #SemST,FAVOR
#SEBAMM #SEB2015: Prtner explains the work of the #IPCC #SemST,NONE
@NZStuffBusiness Time to change the Government! #fracking #C02 #methane #pollution #cancer #health #earthquake #water #leaks #SemST,FAVOR
The ruling by @Scotus is a major setback for @EPA & the environment.  #dirtycoal #SemST,FAVOR
"#SCOTUS,  We need to force #power #plants To cut #emissions of #mercury and other #air pollutants asap! #POTUS #EPA #Justices #SemST",FAVOR
"these days this I #know! I #implemented it years ago & simply walked away but I know, regards Dion #peace #Democracy! #Goal?? #SemST",NONE
. @JanezPotocnik22:The EU is spending the 300 billion collected through environmental tax on fossil fuel subsidies #Almedalen #SemST,FAVOR
Why Is The Pope Upset?  via @HuffPostComedy #UnzippedTruth #PopeFrancis #SemST,NONE
World Futures Council man at #fsds15 points out absurdity of cost benefit analysis discounting future lives #sustainability #SemST,FAVOR
What can young people do about climate change? @ChangeAgentSA @Gen_Earth @EllaBellaC @missearth_sa  #youth #SemST,FAVOR
@metaceptive @jmgamerorus gutted I've missed this would have loved to hear this talk. Africa represented #SemST,NONE
"Everywhere we look, moderate weather seems to be going extinct. #robertredford #UN #SemST",FAVOR
Are these ominous yellow #Vancouver skies making anyone else dread our climate future? #wildfires #SemST,FAVOR
@shalomshuli I'm guessing there was a lot less humidity back in the time of Moses. #SemST,FAVOR
Climate change is a solvable problem but we need to start today. #HHDL80 #SemST,FAVOR
Climate change is an emergency. Stop denial and start taking steps. #climatehealth #SemST,FAVOR
Sea level rise by the end of the century (1-2 meters) will drown SF airport and LA port. @IVelicogna #WithCompassion #SemST,FAVOR
Try to create the world you want to live in. @dalailama #WithCompassion #SemST,NONE
Scorching summers for UK by end of the century! Thank Rocks I won't be here to suffer them! :-)  #SemST,FAVOR
"COPS, UN conferences, board room meetings till when shall this continue when innocent lives and livelihoods are lost.  #SemST",NONE
"Cause and Effect - Dry conditions, wildfires.  #Preventable #HumanCaused #SemST",FAVOR
There is need for world economic powers to be true about climate change funding. The world needs action not empty rhetorics #SemST,FAVOR
@RepTomMarino my priority is to address #SemST,NONE
Great meeting @balboalice and @CTwigg1 today to discuss Future Cities and how UK expertise can be shared & applied in #China #SemST,NONE
"UN, decline of 50% in crop yields in developing countries (rice,wheat,corn) over the next 35 years,especially in the tropics #SemST",FAVOR
Pittsburgh had a Regatta without boats. River full of debris and swift currents. Too dangerous #SemST,NONE
BC continues to burn. If this ain't a wake up call to everyone then nothing will be #Vancouver #bcwildfires #SemST,FAVOR
"Without a place for feeding, mating and giving birth, there is no future for polar bears :( #SemST",FAVOR
#Mission:#Climate @ home > Reduce . Reuse . Recycle . Replenish . Restore  (by @ScrapCatalytics) #Tip #EarthRightNow #SemST,FAVOR
"@POTUS , before we can defeat ISIS we first must defeat #SemST",NONE
RT @MediaRage: One of the most brilliant BS stories created by man to subjugate others:  #LeftistLiesIsBS #SemST,NONE
#SavingMyTomorrow @HBO why are you guys not promoting this like crazy???? #HBO #SemST,NONE
Greenland's ice is melting faster this summer under a dome of high pressure #SemST,FAVOR
@kyjl89 it's crazy. Oklahoma is bracing for more flooding rains (4th cycle this year) & Canada is burning. #SemST,FAVOR
Vallaud-Belkacem: Are we the generation who knew what would happen but who did nothing? Say no! #wakeup #CFCC15 #SemST,FAVOR
".@whelan60 ""While this debate goes on, yet more time is wasted."" #thedrum #SemST",NONE
We need integrated #science with #indigenous knowledge to understand & adapt to  #CFCC15 #SemST,FAVOR
".@ClimatParis2015, the climate science forum begins today. Follow its progress on #CFCC15 #SustainableDevelopment #SemST",FAVOR
11% reduction is this a joke? Our govt seems to be more concerned about flag change than #SemST,NONE
"#TakeDownTheFlag & #LoveWins represent tectonic cultural shifts, thanks in no small part 2 Twitter & Facebook. Imagine same 4 #SemST",NONE
"@LiberalAus - #Wrong #century re the #IPCCreport & the involved #methodology I do have to say, ""regards Dion #peace #ideology #SemST",NONE
Stormiest 2014-2014 in Ireland and UK in 143 years. That saying something @NewsClimate @wattsupwiththat   #SemST,FAVOR
Rt easyprintitja: Rt FirstKingTre: Freak #rain in Kingston #Jamaica.. sudden #skuii876 #SemST,NONE
Rent a theatre and show the movie #ChasingIce to my friends and family to spread the message of global warming. #My1500 #SemST,FAVOR
"National announces plan to put out fire in pantry. Rest of the house can burn baby, burn. #sameoldshit #SemST",NONE
@porterthereport Please don't let him win this. Your loyal readers support you. #SemST,NONE
The #MNTwins game is going really fast tonight. More proof of #SemST,NONE
@Muskoka247 @Muskoka411 You're proud of that? #ShoalLake #boilwater #FortChip #cancer #Vanuatu #BalaFalls #landscapingissues #SemST,NONE
@WSJ images like this make me fearful that the next epidemic must be coming soon. #overpopulation #SemST,NONE
@AssaadRazzouk @TheEarthNetwork @wynnandreid USA is behind....due to IDIOCY #SemST,NONE
"Climate change financing,cc adaptation, cc and resilience,the green economy.Lots of semantics as communities waitforsolutions #SemST",FAVOR
I'm gonna side with the really smart and well educated folks on this one guys. #SemST,NONE
That awkward moment when a pro-coal PR campaign has over 100K more followers than you do: @AdvancedEnergy #greenwashing #SemST,FAVOR
.@CreeClayton wonderful to find you on twitter. Meet @masroora a Canadian working in #SemST,NONE
If ther clmate change alarmists come out in sept this year and tell me this was the hottest winter on record ill go postal #SemST,AGAINST
"Evening @algore, any #democratic thoughts as yet? I get #bored easy re the #politics of it all hop hop, regards D #peace #GMS #SemST",NONE
"LED lights, water saving toilets, showerheads, appliances etc. when we renovate, we choose efficient.   #myChangeForClimate #SemST",FAVOR
People at the bar bitching about the heat and drought. No one utters the words #fossilfuel caused #elephantintheroom #denial #SemST,FAVOR
It's so unfortunate that the systematic destruction of our planet is merely seen to some as a political issue. #SemST,FAVOR
Thanks #MarcLevine & #Ilike_Mike for supporting legislation on #SemST,NONE
"Yo if you live in the United States right now, and do not believe in Global Climate Change, you're a fucking idiot. #fact #SemST",FAVOR
WHEN THE WELL IS DRY WE KNOW THE VALUE OF #WATER: Ben Franklin #ActOnClimate #EPA #SemST,FAVOR
if this heat is killing me i don't wanna know what the poor polar bears are going through right now  #SemST,FAVOR
#Transpregnancy #transgender is a major reason why scientists can't find a cure to #cancer #aids #SemST,NONE
@JodyBland the real question is do you feel safe driving a Prius through Harrison?  #SemST,NONE
"@DeanLeh @earthguardianz excellent speech! Well done. showed ur video to Birdie,she is ready to be part of the change. #rise #SemST",NONE
"As a general rule, mandatory things of all kinds should be refused. #vaccines #gmo #science #bees #fitness #sb277 #nutrition #SemST",NONE
"I bet as a species, Man farts more today due to: Soda, Carbonated Beverages & Fast Food than any other recorded era before. #SemST",NONE
"Noted climatologist, marine biologist,& oceanographer Ted Danson told us 27 yrs ago that the oceans would be dead in 10 yrs. #SemST",AGAINST
There has never been a better time to get the heck out of California. #vaccines #science #gmo #bees #autism #gmo #sb277 #SemST,NONE
Artic Ice highest in 10 years for the month of June..yet no headlines.. #scam #SemST,AGAINST
[Man] cannot change the climate of any country; he adds no new element to the soil ~ Charles Darwin #anthropocene #SemST,AGAINST
@JustinTrudeau @RethinkFusion @terrybeech @adamjpankratz @JonathanWNV #EngineeringInnovation. Future Green Tech to deal with #SemST,FAVOR
.@MexONU : #GreenClimateFund projects must be long-lasting & lay the groundwork for low-carbon development economic models #SemST,FAVOR
#Tolerance... I wonder how much more #Mother #Earth has at #methodology levels re our #capitalistic #ideologies? #SemST,FAVOR
"@rupertmurdoch - feel! I'll bin this one & upload a newer mix in a few days see which version you like better, re's D #peace #SemST",NONE
@heartlandinst The French? you mean the nation that builds tanks with a rear view mirror and six gears in reverse. #SemST,NONE
Good luck @solarimpulse for #Flight8. You will do it @andreborschberg ! #solar #solarimpulse #ActOnClimate #SemST,FAVOR
My dogs are #panting to the beat of my music! #SemST,NONE
There are a lot of things that need to be done. But first should be changing our mindset.  #WaterManagement #SemST,FAVOR
We're growing vegetables at home. Tell your friends and followers what you're doing for climate! #myChangeForClimate #SemST,FAVOR
When did CO2 become a dangerous pollutant that must be curtailed? What do you exhale again? #Iwantanswers #SemST,AGAINST
tsgtalexander: GlblWarmingNews And the tooth fairy might be causing kids to lose teeth! #carbontaxscam #Chemtrails #SemST,AGAINST
GlblWarmingNews And the tooth fairy might be causing kids to lose teeth! #carbontaxscam #Chemtrails #SemST,AGAINST
"Global Warming! Global Warming! Global Warming!  Oh wait, it's summer.  #SemST",AGAINST
"Second heatwave hits NA NW popping up everywhere, and floods too, record wildfires in canada, what a mess,  time up! #SemST",FAVOR
U.S. Should hold referendum prior to Paris talks to gauge American support for dealing (hopefully leading) on #SemST,NONE
Everyone is busy building their bank accounts but one day that paper won't help you during massive natural calamities. #SemST,FAVOR
".@solarimpulse I see this pick up on the rwy with the ""Follow me Andr"" sign... It should be the other way round ! #SemST",NONE
(1/2) Poisoning of the #Biosphere cannot be dealt with by free market economics;  #TaxWallStreet #Environment #GMO #SemST,FAVOR
Just read Scalia's idiotic opinion overturning the EPA's carbon emissions limits. Planning to spend day in a seething rage. #SemST,FAVOR
. @PSaintAmans Well-designed tax policies can help fix a number of environmental issues #ITDconf #COP21 #SemST,FAVOR
#MainauDeclaration2015 60 years later..#LiNo15 Laureates and young scientists say it is time to act #SemST,FAVOR
#MainauDeclaration2015.....lets push the Agenga worldwide without any fear #climatejustice2015 #SemST,FAVOR
#MainauDeclaration2015 watch out guys.. This is HUGE!! #LindauNobel #SemST,NONE
Have never been so outrageously grateful for a slight cool breeze drifting over my body. Is this the future? #nakedtimes #SemST,FAVOR
"Not to worry, sediment cores prove shellfish & coral will recover in just 160,000 years. #oilandgas #rbe #tvp #SemST",FAVOR
@osteomath @capitalweather Funny how you all of a sudden refer to him as a weatherman now  #climatechange...weather. #SemST,FAVOR
It's hot af in #seattle. This is not normal! #hotAF #SemST,FAVOR
"A high emissions scenario would be a disaster for marine life, as well as for ourselves - Dr Williamson #SemST",FAVOR
#AnnapurnaVancheswaran says it took 2 years to cut through the #bureaucracy & speak to Indian #government about #pivotal15 #SemST,NONE
The carbon clock is ticking @CarbonBubble #SurplusGas #carbon #gas #SemST,FAVOR
Building Renovations. Turn $10MM into $1MMM over time. #business #money #wallstreet #enterprise #entrepreneur #engineering #SemST,NONE
"Last time I checked, Al Gore is a politician, not a scientist.. #WCS15 #SemST",AGAINST
@washingtonpost That is one of the most INSANE and DELUSIONAL quotes I've ever seen.  #tcot #tlot #SemST,NONE
Climate change?! Explain the definition of climate change.. #fraud #CCOT #liberty #CruzCrew #SemST,AGAINST
Australia is leading the way. Backwards. #MarriageEquaility #auspol #SemST,NONE
"When the Last Tree Is Cut Down, the Last Fish Eaten & the Last Stream Poisoned, You Will Realize That You Cannot Eat Money #SemST",FAVOR
Eating a cow is 9x worse than eating a chicken in terms of CO2 emissions. #SemST,FAVOR
"@LStygal I'm with you there, plenty of followers on that do to #environment #greenvegans #plugging #SemST",FAVOR
The default scientific position is skepticism. #tcot #SemST,NONE
News flash for all the haters!! THE EARTH IS ROUND! #LoveWins #SCOTUS #SemST,NONE
Why is nothing being done about  #SemST,NONE
@_A___L___I_ well they should! Why do you think people in Karachi r dying? because we don't care about our environment! #SemST,FAVOR
(2/2) 300 words and be sent to climateconference2015@gmail.com #sustainability #sustainabledevelopment #SemST,FAVOR
"Let's all stop saying people don't ""believe"" in Climate Change. It's not a matter of faith. They don't UNDERSTAND #SemST",FAVOR
@FlyingFree333 wow that is certainly an extreme prognostication! #gop #libertarian #SemST,NONE
The best call still and will always be Matt in Cleveland. #KirstieAllie #ValKilmer #SemST,NONE
@jimrome I think the 5k has got them gripping Romey #SmackOff #valkilmer #seeingwonder #SemST,NONE
"If it doesn't warm up soon @Number10gov, I want my money back on the panels for misselling. #45Minutes #dodgydata #Drtker #SemST",NONE
@NCRegister @peaceischrist @diocesefwsb @CatholicVote Unless it's #SemST,NONE
"One day it will be clear that someone has changed their opinion due 2 one or more of my tweets, but I'm not holding my breath #SemST",NONE
#Mission:#Climate @ home > Purchase green power (if available) (by @EPA) #Tip #SemST,FAVOR
V @QueenNoor V @Guardian The Biggest Story In World Podcast @WhiteHouse @AlGore @TheHill of @GOP STUPIDITY And IGNORANCE! #SemST,NONE
RT @zerofootprint: RT @ClimateReality: #ClimateFact India may stand to lose 1.8% of its annual GDP by 2050 due to #SemST,FAVOR
@irish0831 Good grief! I can feel the desperation seeping off the page.   GOOD. We've got 'em on the ropes.  #SemST,NONE
#Mission:#Climate @ home > Opt for reusable bags instead of plastic bags (by @gaiam) #Tip #ActOnClimate #SemST,FAVOR
@notabarrister @scrufflove pfft...we're getting that next week #standard #SemST,NONE
".@msimire says children, women, elderly people especially at risk to health impacts of #ClimateReporting2015 #SemST",FAVOR
Sunny  Rainy bipolar weather. Wow real quick ma nigga #SemST,NONE
Considering moving yo Antarctica as thats the only way I could possibly become more #chill #SemST,NONE
@BillMoyersHQ CONGRATULATIONS to the DUTCH!!!!!!! GOOD WORK!!!!!! #Change #SemST,NONE
I'm in hell. I feel the fiery tips of insidious flames swiftly sauntering into my room. Or maybe I don't have AC #SemST,NONE
Negative times a negative equals a positive...wonder if that applies to emotions too??? #manthoughts #sustainablehumans #SemST,NONE
It's hotter in Oregon then it is in California right now. #SemST,FAVOR
@DrOakley1689 @PhxApologetics Maybe they just misused their resources and their societies collapsed #deforestation #SemST,FAVOR
@cschultzwx there has been a ton of lightning up there every other day for the past week! #lolz #SemST,NONE
#Mission:#Climate @ home > Wrap your water heater in an insulation blanket #Tip #ActOnClimate #SemST,FAVOR
"This just in: Republican Primary Debates are down to topic of ""Who Wore It Better?"" #LoveWins #MarriageEquaility #Obamacare #SemST",NONE
Why is there no #CaptainPlanet movie??? Rt if u want one. #environment #planet #earth #SemST,NONE
@jimrome @Daytripper20 Yea Yea Yea Yea #Smackoff #ValKilmer #SeeingWonder #BumSmack #SemST,NONE
So #Christian s...  Without beaches what is your God going to make sand people out of?  #RisingSeaLevel #SemST,FAVOR
"Islamists kill in France, Tunisia and Syria. But let's remember that our greatest threat is from the #hoax formerly known as #SemST",NONE
Thank you @GreenpeaceNZ for getting out there yesterday and highlighting  one of the most important issues we are facing. #SemST,FAVOR
Go Dutch New meaning: citizens take their governments to court to make them act on climate promises #Hague #Hope #COP21 #SemST,FAVOR
Confession: the state of the world has been getting me down lately.  #deathsincustody #everydayracism #SemST,NONE
@RegimeChangeBC @ndnstyl It's sad to be the last generation that could change but does nothing. #Auspol #SemST,FAVOR
Drought effects spreading in western NorAm and BC Gov't will destroy prime farmland to enable more #LNG #SiteC #bcpoli #SemST,FAVOR
@MonsterMarcia Kudos to these young people! Next generation of activists! #OnlyOneEarth #SemST,FAVOR
#PathtoPositive #LA region's green leaders United to find local solutions to #LACityHall #SemST,FAVOR
"Isn't CO2 impact on warming logarithmic, and at current levels, 390 ppm, incremental impact negligible? #NDP #SemST",FAVOR
There use to be a glacier on the equator. #SemST,FAVOR
srsly weirds me out i have to wear #sunscreen for the morning #dogwalk getting a #tan at 9am? #wtf #SemST,FAVOR
"Our amazing #ESS15 panel @gkremen, @SuffolkBuilds, @maxfieldweiss & @Oakland on how to prepare & protect #BayArea region from #SemST",FAVOR
@ChrisLeinberger :  change from #drivable to #walkable = #1 benefit 4 #APANE2015 #SemST,FAVOR
We are working to elect climate-friendly governments across North America #FeelTheBern #NDP #LPC #GPC #BQ #HARPERPAC.CA #SemST,FAVOR
@davidswann says he wants carbon fund to be spent on public transportation and renewable energy. #ejlive #ableg #SemST,FAVOR
SO EXCITING! Meaningful climate change action is on the way! #abpoli #GHG #SemST,FAVOR
RT @cderworiz: Timelines are short. Strategy must be in place by climate change conference in Paris by December. #ableg #SemST,FAVOR
RT @GreenLivingGB: @earthhour Looks like a great event. Green is the way forward! #SemST,FAVOR
Is the new Pahiatua plant going to be primarily coalfired? Large companies like @Fonterra should be taking the lead against #SemST,FAVOR
"If you have any remaining doubts about climate change, go watch @chasingice on Netflix and proceed to shitting your pants. #SemST",FAVOR
"@AlharbiF I'll bomb anything I can get my hands on, especially if THEY aren't christian. #graham2016 #GOP #SemST",NONE
"What a great week for social issues #SCOTUS Now, let's get to work on #environment and #SemST",FAVOR
@shalyn67 religion / race have already been disproven by reason and science. I wonder what we can do about politics #drought #SemST,NONE
"Politics, Religion, Race; we are so busy killing & hurting each other, Earth dries up & we will all die anyway. #drought #SemST",FAVOR
"@SenWhitehouse "" Dr. David Legates of the University of Delaware explain....higher temperatures lead to higher levels of CO2 #SemST",FAVOR
