Tweet,Stance
Just laid down the law on abortion in my bioethics class. #Catholic,AGAINST
Bad 2 days for #Kansas Conservatives #ksleg @govsambrownback going 0-4 in courts #SCOTUSMarriage #SCOTUScare #schoolfunding #sweep #SemST,NONE
"Now that there's marriage equality, can we start working on equal rights for unborn children? #SemST",AGAINST
I'll always put all my focus and energy toward keeping people alive instead of deciding who gets to marry. #SemST,AGAINST
"@BarackObama celebrates ""equality"" while 3000 unborn babies were killed today. Let's talk about a real inequality sir #LifeEquality #SemST",AGAINST
So unfortunate #thebriefcase @cbs. Adoption isn't always the answer. #SemST,FAVOR
"Now that the govt and The Supremes have saved the gays, maybe they will save the babies next. #SemST",AGAINST
Everyone who disagrees has always had the right to mind their own damn business!!!! #LoveWins #SemST,NONE
"In the aim for equality we have forgotten the most innocent, the smallest, the most precious among us. The unborn. #catholic #SemST",AGAINST
Part of our celebration will be dancing our butts off to a LGBTQIA pride inspired playlist. What songs should we add to our list? #SemST,NONE
@slowdoghdfc I know. God won't be mocked tho. So I blv we shd expect judgment~as if thr wr not already enuf rzn 2 judge America. #SemST,NONE
"@michaelianblack i don't follow the news, is there a new law that ALL gay people have to get married? I'm against that! #SemST",NONE
"True equality"" allows all to be born. #SemST",AGAINST
"Just a reminder, don't take your eyes off #SCOTUS yet #reprohealth is still on the line. #womensrights #ReproJustice #reprorights #SemST",FAVOR
Can we make sure #lovewins for babies too? Or nah... #SemST,AGAINST
What about the equal rights of unborn humans in which about 1% could grow up to be LGBT? @SCOTUS #LoveWins #SemST,AGAINST
I'm gonna fuck @CaitlynGuyerXOX Next weekend  #SemST,NONE
RT @rxchelredekop: Consenting to sex is not consenting to being pregnant!!! Like!!! No!!!! #SemST,FAVOR
Now the matter of abortion comes next. #SemST,NONE
"@mrprolife Complications come with all types of medical procedures, doesn't mean procedure itself should be banned. #DealWithIt #SemST",FAVOR
#bristolpalin is more proof that #abstinence only education doesn't work. Affordable access to contraception #SemST,NONE
"Any asshat ""protesting"" against @SofiaVergara is a disgrace to the entire Women's rights movement. Live and let live. #SemST",NONE
"Any asshat ""protesting"" against #SofiaVergara is a disgrace to the entire Women's Rights movement. Live and let live. #SemST",NONE
@Scullybones027 And where is @AmnestyIreland ? Nowhere to be seen - cause they only care about #SemST,NONE
Okay so how about declaring and protecting equality for the unborn now? #SCOTUS #Murder #SemST,AGAINST
@TheHeavySquad  #DailyWordsOfWisdom Pat's best Hell is for children  still defines goverment #fostercare #adoption #SemST,AGAINST
